DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V05_1052,Connecticut Gazette,"CONNECTICUT GAZETTE , FRIDAY, JUNE 21, 1776 New-London",Connecticut Gazette,CONNECTICUT GAZETTE,title,/TaggedPDF-doc/doc[1052]/title/pub
NDAR_V05_1071,The Freeman's Journal,"THE FREEMAN'S JOURNAL , SATURDAY, JUNE 22, 1776 Portsmou",The Freeman's Journal,THE FREEMAN'S JOURNAL,title,/TaggedPDF-doc/doc[1071]/title/pub
NDAR_V05_1077,Providence Gazette,"PROVIDENCE GAZETTE , SATURDAY, JUNE 22, 1776 Providen",Providence Gazette,PROVIDENCE GAZETTE,title,/TaggedPDF-doc/doc[1077]/title/pub
NDAR_V05_1082,Constitutional Gazette,"CONSTITUTIONAL GAZETTE , SATURDAY, JUNE 22, 1776 New York",Constitutional Gazette,CONSTITUTIONAL GAZETTE,title,/TaggedPDF-doc/doc[1082]/title/pub
NDAR_V05_1092,Virginia Gazette,"DIXON AND HUNTER'S VIRGINIA GAZETTE , SATURDAY, JUNE 22, 1776 Williams",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[1092]/title/pub
NDAR_V05_1123,Boston Gazette,"BOSTON GAZETTE , MONDAY, JUNE 24, 1776. Colony of",Boston Gazette,BOSTON GAZETTE,title,/TaggedPDF-doc/doc[1123]/title/pub
NDAR_V05_1129,Newport Mercury,"NEWPORT MERCURY , MONDAY, JUNE 24, 1776 Newport, J",Newport Mercury,NEWPORT MERCURY,title,/TaggedPDF-doc/doc[1129]/title/pub
NDAR_V05_1130,Pennsylvania Ledger,"PENNSYLVANIA LEDGER , SATURDAY, JULY 20, 1776 Newport,",Pennsylvania Ledger,PENNSYLVANIA LEDGER,title,/TaggedPDF-doc/doc[1130]/title/pub
NDAR_V05_1131,Connecticut Courant,"CONNECTICUT COURANT , MONDAY, JUNE 24, 1776 Hartford,",Connecticut Courant,CONNECTICUT COURANT,title,/TaggedPDF-doc/doc[1131]/title/pub
NDAR_V05_1141,Pennsylvania Packet,"PENNSYLVANIA PACKET , MONDAY, JUNE 24, 1776 Philadelph",Pennsylvania Packet,PENNSYLVANIA PACKET,title,/TaggedPDF-doc/doc[1141]/title/pub
